date,lga_name,average_historical_occupancy,average_daily_rate
2023-02-04,Cairns,0.4762,211.3566
2023-02-05,Noosa,0.5437,332.3867
2023-02-05,Whitsunday,0.508,337.5329
2023-02-05,Gold Coast,0.56,283.2981
2023-02-05,Cairns,0.4893,209.2417
2023-02-06,Whitsunday,0.4873,340.388
2023-02-06,Noosa,0.5254,333.1642
2023-02-06,Cairns,0.4665,206.7086
2023-02-06,Gold Coast,0.5356,280.708
2023-02-07,Whitsunday,0.4823,338.1967
2023-02-07,Noosa,0.5185,327.6916
2023-02-07,Cairns,0.4821,206.8664
2023-02-07,Gold Coast,0.5377,276.2275
2023-02-08,Gold Coast,0.5444,275.0034
2023-02-08,Whitsunday,0.4857,342.2119
2023-02-08,Cairns,0.4873,207.5965
2023-02-08,Noosa,0.5301,326.8538
2023-02-09,Whitsunday,0.5332,348.7739
2023-02-09,Gold Coast,0.57,276.4569
2023-02-09,Noosa,0.5523,331.5712
2023-02-09,Cairns,0.4932,208.5683
2023-02-10,Noosa,0.6173,342.0471
2023-02-10,Whitsunday,0.5892,344.7023
2023-02-10,Gold Coast,0.638,312.1371
2023-02-10,Cairns,0.4923,213.9405
2023-02-11,Noosa,0.6506,341.2357
2023-02-11,Whitsunday,0.5961,341.7684
2023-02-11,Cairns,0.5072,212.046
2023-02-11,Gold Coast,0.6688,313.8236
2023-02-12,Whitsunday,0.5498,340.2748
2023-02-12,Cairns,0.5116,210.7068
2023-02-12,Noosa,0.5674,334.4434
2023-02-12,Gold Coast,0.5962,283.3877
2023-02-13,Cairns,0.5024,207.017
2023-02-13,Gold Coast,0.5679,274.7448
2023-02-13,Whitsunday,0.536,336.1336
2023-02-13,Noosa,0.5362,329.5763
2023-02-14,Noosa,0.5333,324.8113
2023-02-14,Whitsunday,0.5302,328.5467
2023-02-14,Cairns,0.5017,206.6187
2023-02-14,Gold Coast,0.574,271.2948
2023-02-15,Whitsunday,0.5323,334.3264
2023-02-15,Cairns,0.4918,208.8715
2023-02-15,Gold Coast,0.5649,274.0116
2023-02-15,Noosa,0.5345,327.0362
2023-02-16,Noosa,0.5721,329.6109
2023-02-16,Gold Coast,0.6109,278.602
2023-02-16,Cairns,0.5027,211.5148
2023-02-16,Whitsunday,0.5824,340.386
2023-02-17,Whitsunday,0.6237,339.4883
2023-02-17,Noosa,0.634,343.005
2023-02-17,Gold Coast,0.67,311.5968
2023-02-17,Cairns,0.511,213.2624
2023-02-18,Noosa,0.6705,339.0934
2023-02-18,Cairns,0.5301,215.1619
