spend,cards_seen,no_txns,date,region,category
147182.5,342,396,11/09/2023,Whitsundays,TRAVEL AGENCIES
80499.35,188,248,11/09/2023,Whitsundays,VEHICLE RENTAL
222450.61,2174,3392,11/09/2023,Whitsundays,RETAIL SERVICES
675396.2,7840,11073,11/09/2023,Whitsundays,RETAIL STORES
87145.03,1379,1905,11/09/2023,Whitsundays,BUSINESS TO BUSINESS
489222.78,14975,19529,11/09/2023,Whitsundays,FAST FOOD RESTAURANTS
765278,11232,11457,11/09/2023,Whitsundays,HEALTH CARE & DRUG STORE
1814820.9,22435,46301,11/09/2023,Whitsundays,RESTAURANTS
672000.8,8121,11668,11/09/2023,Whitsundays,PKG STORES/BEER/WINE/LIQUOR
3857784.8,33926,76563,11/09/2023,Whitsundays,FOOD & GROCERY
281062.16,2788,3155,11/09/2023,Whitsundays,ENTERTAINMENT
505801.94,6274,9712,11/09/2023,Whitsundays,AUTOMOTIVE
706099.25,11039,19714,11/09/2023,Whitsundays,BARS/TAVERNS/LOUNGES/DISCOS
57087.676,1115,1302,11/09/2023,Whitsundays,PROFESSIONAL SERVICES
19756.94,96,76,11/09/2023,Whitsundays,AIRLINES/AIR CARRIERS
478603.5,7512,10370,11/09/2023,Whitsundays,DISCOUNT & VARIETY STORES
159441.44,4621,6729,11/09/2023,Whitsundays,TRANSPORTATION
557609.44,6337,9924,10/06/2024,Whitsundays,PKG STORES/BEER/WINE/LIQUOR
653160.56,5269,5639,10/06/2024,Whitsundays,HOME IMPROVEMENT & SUPPLY
3177687.2,29773,59727,10/06/2024,Whitsundays,FOOD & GROCERY
423470.06,12682,24298,10/06/2024,Whitsundays,FAST FOOD RESTAURANTS
109933.15,3628,5274,10/06/2024,Whitsundays,TRANSPORTATION
175300.28,1789,2872,10/06/2024,Whitsundays,RETAIL SERVICES
638439.3,6124,7965,10/06/2024,Whitsundays,RETAIL GOODS
481817.44,5054,6101,10/06/2024,Whitsundays,RETAIL STORES
454550.84,5146,8438,10/06/2024,Whitsundays,DISCOUNT & VARIETY STORES
574211.2,6776,7779,10/06/2024,Whitsundays,HEALTH CARE & DRUG STORE
422325.4,4637,7043,10/06/2024,Whitsundays,AUTOMOTIVE
98548.13,194,227,10/06/2024,Whitsundays,TRAVEL AGENCIES
31883.73,243,229,10/06/2024,Whitsundays,TELECOM
80725.19,1407,2037,10/06/2024,Whitsundays,PROFESSIONAL SERVICES
1516702.9,9003,23776,10/06/2024,Whitsundays,HOTELS/MOTELS & RESORTS
675301.94,8949,21593,10/06/2024,Whitsundays,BARS/TAVERNS/LOUNGES/DISCOS
198629.7,2220,2030,10/06/2024,Whitsundays,EDUCATION & GOVERNMENT
100217.914,274,253,10/06/2024,Whitsundays,VEHICLE RENTAL
51599.86,221,346,10/06/2024,Whitsundays,TRAILER PARKS AND CAMPGROUNDS
