date,lga_name,average_length_of_stay,average_booking_window
2023-06-03,Noosa,5.2357,55.2357
2023-06-03,Whitsunday,4.0625,51.491
2023-06-03,Gold Coast,3.7236,33.5931
2023-06-03,Cairns,5.3479,61.4594
2023-06-04,Cairns,4.1149,47.7318
2023-06-04,Gold Coast,5.0825,37.9628
2023-06-04,Whitsunday,3.9495,39.9495
2023-06-04,Noosa,4.2184,30.3689
2023-06-05,Gold Coast,5.2091,39.2573
2023-06-05,Noosa,4.2775,32.8149
2023-06-05,Cairns,4.4921,43.5275
2023-06-05,Whitsunday,3.8958,43.6145
2023-06-06,Whitsunday,4.5306,58.653
2023-06-06,Cairns,4.4014,55.1189
2023-06-06,Noosa,3.7142,26.0496
2023-06-06,Gold Coast,4.8811,40.3364
2023-06-07,Cairns,4.7314,46.719
2023-06-07,Gold Coast,5.2254,44.6102
2023-06-07,Noosa,4.8571,27.1607
2023-06-07,Whitsunday,4.2315,58.5473
2023-06-08,Whitsunday,5.5584,48.961
2023-06-08,Noosa,3.5816,45.2278
2023-06-08,Gold Coast,4.7904,44.1047
2023-06-08,Cairns,5.1961,55.5852
2023-06-09,Whitsunday,3.2699,63.184
2023-06-09,Gold Coast,3.776,45.4931
2023-06-09,Noosa,2.9369,41.3668
2023-06-09,Cairns,3.8746,59.047
2023-06-10,Cairns,5.3785,54.0964
2023-06-10,Noosa,3.9003,39.4916
2023-06-10,Whitsunday,3.4198,51.6183
2023-06-10,Gold Coast,3.8785,39.4958
2023-06-11,Cairns,4.7266,51.9965
2023-06-11,Noosa,7.041,34.1692
2023-06-11,Whitsunday,3.7213,45.1065
2023-06-11,Gold Coast,6.1637,40.8448
2023-06-12,Cairns,3.8892,56.2885
2023-06-12,Gold Coast,5.5512,40.8661
2023-06-12,Noosa,5.8492,37.5829
2023-06-12,Whitsunday,4.6548,55.4247
2023-06-13,Cairns,3.5927,51.9768
2023-06-13,Whitsunday,4.0898,48.3932
2023-06-13,Noosa,5.4656,36.7301
2023-06-13,Gold Coast,5.0997,33.1598
2023-06-14,Gold Coast,5.525,30.6253
2023-06-14,Noosa,3.5876,35.9381
2023-06-14,Cairns,4.4605,68.8947
2023-06-14,Whitsunday,3.8396,55.915
2023-06-15,Gold Coast,3.6955,31.4117
2023-06-15,Cairns,4.6538,88.4487
2023-06-15,Noosa,4.4046,38.2645
2023-06-15,Whitsunday,4.3892,49.6375
2023-06-16,Gold Coast,3.3462,34.119
2023-06-16,Noosa,3.744,43.9146
2023-06-16,Cairns,3.7833,70.6722
2023-06-16,Whitsunday,3.0476,56.3968
2023-06-17,Gold Coast,3.81,31.6162
2023-06-17,Whitsunday,3.6608,45.4
2023-06-17,Noosa,4.676,49.7147
2023-06-17,Cairns,4.5851,61.4574
2023-06-18,Whitsunday,4.7024,41.9256
2023-06-18,Cairns,4.1098,54.3223
2023-06-18,Noosa,4.0817,33.1011
2023-06-18,Gold Coast,4.485,33.0299
2023-06-19,Whitsunday,4.0152,48.9236
2023-06-19,Cairns,6.783,59.511
2023-06-19,Noosa,4.9715,38.0818
2023-06-19,Gold Coast,4.7548,34.2955
2023-06-20,Noosa,4.4161,38.4223
2023-06-20,Cairns,4.5623,67.9529
2023-06-20,Gold Coast,4.1965,30.548
2023-06-20,Whitsunday,3.4603,42.8015
2023-06-21,Noosa,3.4476,25.6714
2023-06-21,Whitsunday,3.57,43.35
2023-06-21,Gold Coast,6.1051,29.3465
2023-06-21,Cairns,3.8026,50.8453
2023-06-22,Noosa,4.4356,40.4688
2023-06-22,Gold Coast,4.2679,34.464
2023-06-22,Whitsunday,3.5547,50.4233
2023-06-22,Cairns,3.6398,66.451
2023-06-23,Cairns,4.2831,72.7678
2023-06-23,Gold Coast,5.0287,39.5244
2023-06-23,Noosa,4.9522,45.272
2023-06-23,Whitsunday,3.8662,64.0174
2023-06-24,Whitsunday,4.2413,89.5459
2023-06-24,Gold Coast,4.1482,37.8526
2023-06-24,Noosa,5.1797,54.4637
2023-06-24,Cairns,5.2542,81.7316
2023-06-25,Noosa,4.4072,48.3745
2023-06-25,Gold Coast,4.3691,35.6666
2023-06-25,Cairns,4.8157,76.4385
2023-06-25,Whitsunday,4.9117,64.0367
2023-06-26,Gold Coast,4.8421,38.6272
2023-06-26,Noosa,4.6823,51.1841
2023-06-26,Cairns,5.3818,77.0597
2023-06-26,Whitsunday,4.1909,67.9727
2023-06-27,Whitsunday,6.0551,62.7795
2023-06-27,Cairns,5.0291,74.5218
2023-06-27,Noosa,4.1495,43.6355
2023-06-27,Gold Coast,4.8329,40.0181
2023-06-28,Noosa,5.7203,47.8388
2023-06-28,Gold Coast,5.0361,44.0554
2023-06-28,Cairns,5.1523,72.8278
2023-06-28,Whitsunday,3.79,66.41
2023-06-29,Noosa,3.8538,38.2807
2023-06-29,Whitsunday,4.5454,74.6287
2023-06-29,Cairns,4.6933,76.08
2023-06-29,Gold Coast,3.7632,55.2667
2023-06-30,Whitsunday,4.5888,85.4722
2023-06-30,Gold Coast,3.3571,66.678
2023-06-30,Cairns,5.1424,80.8407
2023-06-30,Noosa,4.1267,54.5215
2023-07-01,Noosa,8.7222,74.0434
2023-07-01,Gold Coast,8.2297,64.166
2023-07-01,Whitsunday,9.0931,70.6521
2023-07-01,Cairns,5.7442,91.7468
2023-07-02,Cairns,4.9294,80.2852
2023-07-02,Gold Coast,5.3054,42.0098
2023-07-02,Noosa,4.9576,46.3224
2023-07-02,Whitsunday,5.3768,78.3043
2023-07-03,Cairns,4.9712,72.6465
2023-07-03,Noosa,5.3604,52.901
2023-07-03,Gold Coast,7.0284,42.2269
2023-07-03,Whitsunday,6.375,66.6833
2023-07-04,Cairns,3.9107,77.9323
2023-07-04,Noosa,4.2851,44.5333
2023-07-04,Gold Coast,5.1132,33.071
2023-07-04,Whitsunday,3.9018,69.3312
2023-07-05,Whitsunday,3.5666,62.7
2023-07-05,Gold Coast,4.742,35.0614
2023-07-05,Noosa,4.5215,42.464
2023-07-05,Cairns,5.0385,85.1157
2023-07-06,Cairns,4.5895,76.4335
2023-07-06,Noosa,3.6287,37.428
2023-07-06,Gold Coast,4.1162,33.7915
2023-07-06,Whitsunday,3.6944,57.9722
2023-07-07,Gold Coast,3.8886,38.2892
2023-07-07,Noosa,5.6694,50.3446
2023-07-07,Cairns,5.1319,83.1533
2023-07-07,Whitsunday,3.5064,65.5576
2023-07-08,Whitsunday,4.4671,71.9605
2023-07-08,Gold Coast,4.999,36.409
2023-07-08,Noosa,5.1708,45.4982
2023-07-08,Cairns,5.1292,77.5028
2023-07-09,Gold Coast,5.721,41.3935
2023-07-09,Cairns,5.2231,78.6186
2023-07-09,Noosa,6.7518,51.4703
2023-07-09,Whitsunday,5.2874,59.9041
2023-07-10,Gold Coast,5.6919,38.7696
2023-07-10,Noosa,6.6504,51.6343
2023-07-10,Whitsunday,5.8367,65.9591
2023-07-10,Cairns,5.8102,75.5528
2023-07-11,Cairns,5.6941,80.0152
2023-07-11,Noosa,5.217,38.7531
2023-07-11,Gold Coast,4.6903,35.8132
2023-07-11,Whitsunday,4.0476,58.6428
2023-07-12,Noosa,5.3346,37.7782
2023-07-12,Cairns,4.6785,73.491
2023-07-12,Whitsunday,3.6034,49.1293
2023-07-12,Gold Coast,5.0011,28.7655
2023-07-13,Cairns,6.8746,70.2257
2023-07-13,Noosa,3.6969,44.5984
2023-07-13,Gold Coast,4.0811,31.7647
2023-07-13,Whitsunday,3.5434,52.5144
2023-07-14,Whitsunday,4.4606,55.4969
2023-07-14,Noosa,4.9684,43.3421
2023-07-14,Cairns,6.023,65.8213
2023-07-14,Gold Coast,3.6364,35.4842
2023-07-15,Cairns,5.0387,74.2067
2023-07-15,Noosa,4.5859,51.235
2023-07-15,Whitsunday,3.8726,53.484
2023-07-15,Gold Coast,4.2784,34.9368
2023-07-16,Noosa,7.3568,48.9529
2023-07-16,Whitsunday,5.592,56.64
2023-07-16,Gold Coast,5.1981,36.1605
2023-07-16,Cairns,6.559,70.4223
2023-07-17,Gold Coast,5.9037,37.2018
2023-07-17,Cairns,6.3316,73.0222
2023-07-17,Noosa,7.2516,65.1241
2023-07-17,Whitsunday,4.5845,63.4295
2023-07-18,Gold Coast,5.8389,32.1876
2023-07-18,Noosa,5.0139,45.6748
2023-07-18,Cairns,4.1949,61.8301
2023-07-18,Whitsunday,4.3818,49.3272
2023-07-19,Whitsunday,2.9819,51.8558
2023-07-19,Noosa,4.0498,44.249
2023-07-19,Gold Coast,4.3165,36.7944
2023-07-19,Cairns,4.4892,61.1834
2023-07-20,Cairns,4.3504,66.6344
2023-07-20,Noosa,5.5498,59.864
2023-07-20,Whitsunday,4.7133,62.9299
2023-07-20,Gold Coast,4.6091,43.6835
2023-07-21,Whitsunday,3.9602,60.9375
2023-07-21,Cairns,3.9719,70.0612
2023-07-21,Noosa,5.103,52.0679
2023-07-21,Gold Coast,3.3947,38.3697
2023-07-22,Whitsunday,3.2446,59.6834
2023-07-22,Gold Coast,3.8948,30.4744
2023-07-22,Noosa,4.8104,52.1003
2023-07-22,Cairns,4.9716,74.8107
2023-07-23,Gold Coast,5.1555,40.5965
2023-07-23,Whitsunday,3.5808,54.2426
2023-07-23,Cairns,4.9118,75.2431
2023-07-23,Noosa,6.249,46.0036
2023-07-24,Gold Coast,4.6579,39.5584
2023-07-24,Noosa,7.1517,62.8404
2023-07-24,Cairns,4.7302,66.085
2023-07-24,Whitsunday,3.6285,57.6357
2023-07-25,Gold Coast,4.9563,37.622
2023-07-25,Noosa,4.5245,43.0147
2023-07-25,Whitsunday,3.459,44.9344
2023-07-25,Cairns,4.5748,67.0568
2023-07-26,Cairns,4.2715,70.361
2023-07-26,Noosa,5.3034,47.8507
2023-07-26,Whitsunday,3.7177,49.7177
2023-07-26,Gold Coast,4.1611,38.9815
2023-07-27,Cairns,4.3983,69.918
2023-07-27,Gold Coast,4.369,37.8684
2023-07-27,Noosa,3.7689,51.3306
2023-07-27,Whitsunday,3.5167,60.7114
2023-07-28,Gold Coast,3.0119,36.2484
2023-07-28,Noosa,4.1471,52.8413
2023-07-28,Whitsunday,3.7801,61.4659
2023-07-28,Cairns,4.717,70.7955
2023-07-29,Noosa,4.0551,54.4344
2023-07-29,Whitsunday,3,51.8297
2023-07-29,Gold Coast,3.5505,31.748
2023-07-29,Cairns,4.1523,61
2023-07-30,Noosa,8.7319,62
2023-07-30,Gold Coast,3.7943,35.5647
2023-07-30,Cairns,4.8859,81.2182
2023-07-30,Whitsunday,4.1985,54.0514
2023-07-31,Whitsunday,4.7272,48.25
2023-07-31,Gold Coast,5.5469,38.3705
2023-07-31,Cairns,4.6901,69.2944
2023-07-31,Noosa,5.8093,60.1361
2023-08-01,Cairns,7.6691,89.6225
2023-08-01,Whitsunday,5.9265,65.0451
2023-08-01,Gold Coast,15.5129,57.7462
2023-08-01,Noosa,8.8753,88.0841
2023-08-02,Gold Coast,4.9906,39.6488
2023-08-02,Noosa,4.1168,75.3333
2023-08-02,Cairns,3.8435,78.4301
2023-08-02,Whitsunday,3.2649,66.735
2023-08-03,Cairns,6.1002,77.1114
2023-08-03,Whitsunday,3.4431,75.0738
2023-08-03,Noosa,5.329,42.4914
2023-08-03,Gold Coast,4.4105,43.8857
2023-08-04,Cairns,4.8423,74.7554
2023-08-04,Noosa,4.1717,53.2461
2023-08-04,Gold Coast,3.1328,36.2772
2023-08-04,Whitsunday,3.1348,70.3988
2023-08-05,Whitsunday,3.2721,78.3129
2023-08-05,Noosa,4.8409,67.8701
2023-08-05,Cairns,5.1,73.9114
2023-08-05,Gold Coast,3.4518,36.2854
2023-08-06,Whitsunday,4.3081,74.3018
2023-08-06,Noosa,7.4728,51.5481
2023-08-06,Cairns,6.0833,70.4166
2023-08-06,Gold Coast,4.9403,32.1833
2023-08-07,Whitsunday,3.2391,59.9057
2023-08-07,Noosa,6.1124,50.7558
2023-08-07,Gold Coast,4.8993,36.0822
2023-08-07,Cairns,5.1818,62.8533
2023-08-08,Gold Coast,4.7905,32.1459
2023-08-08,Whitsunday,4.2686,62.6492
2023-08-08,Cairns,4.5615,67.6372
2023-08-08,Noosa,6.4194,46.0254
2023-08-09,Cairns,4.8781,70.8531
2023-08-09,Gold Coast,4.0634,35.2843
2023-08-09,Whitsunday,4.0661,63.9926
2023-08-09,Noosa,4.2881,43.6101
2023-08-10,Cairns,4.2363,67.8272
2023-08-10,Gold Coast,3.8813,40.4637
2023-08-10,Noosa,5.6851,55.274
2023-08-10,Whitsunday,3.7389,57.7044
2023-08-11,Noosa,4.3603,47.0167
2023-08-11,Cairns,4.0516,64.1576
2023-08-11,Whitsunday,3.75,62.851
2023-08-11,Gold Coast,3.623,35.9561
2023-08-12,Cairns,4.6635,72.0155
2023-08-12,Gold Coast,3.1626,34.4056
2023-08-12,Whitsunday,3.3448,62.7655
2023-08-12,Noosa,4.7763,41.1381
2023-08-13,Noosa,4.0522,41.7944
2023-08-13,Whitsunday,3.4569,59.1523
2023-08-13,Cairns,4.0169,66.7994
2023-08-13,Gold Coast,4.8587,33.583
2023-08-14,Noosa,5.5912,48.0709
2023-08-14,Gold Coast,4.5015,34.8785
2023-08-14,Whitsunday,3.8857,57.3428
2023-08-14,Cairns,4.7769,69.0787
2023-08-15,Noosa,4.1832,41.0239
2023-08-15,Whitsunday,3.7708,62.0625
2023-08-15,Gold Coast,3.4576,33.7276
2023-08-15,Cairns,3.7041,53.7958
2023-08-16,Noosa,5.019,45.5665
2023-08-16,Gold Coast,3.8096,46.6752
2023-08-16,Cairns,4.3707,66.073
2023-08-16,Whitsunday,2.741,48.0089
2023-08-17,Whitsunday,3.3885,68.6171
2023-08-17,Noosa,3.9017,52.3824
2023-08-17,Cairns,4.2795,65.6344
2023-08-17,Gold Coast,3.7027,67.4612
2023-08-18,Whitsunday,4.2054,85.3013
2023-08-18,Noosa,4.2004,50.5046
2023-08-18,Gold Coast,2.8846,70.6141
2023-08-18,Cairns,4.1758,71.7512
2023-08-19,Whitsunday,5.5789,66.3947
2023-08-19,Noosa,4.1601,43.6948
2023-08-19,Cairns,4.5972,61.9863
2023-08-19,Gold Coast,4.3378,41.9852
2023-08-20,Whitsunday,3.4409,52.2283
2023-08-20,Gold Coast,7.292,43.2052
2023-08-20,Cairns,4.3324,51.5659
2023-08-20,Noosa,4.5287,46.5251
2023-08-21,Gold Coast,8.1359,49.5334
2023-08-21,Whitsunday,4.0846,42.6153
2023-08-21,Noosa,3.9973,32.2941
2023-08-21,Cairns,4.1247,57.5124
2023-08-22,Cairns,5.1994,56.8787
2023-08-22,Noosa,4.6303,47.8754
2023-08-22,Gold Coast,5.3174,35.9772
2023-08-22,Whitsunday,5.1885,50.877
2023-08-23,Noosa,3.1837,49.1752
2023-08-23,Whitsunday,3.0288,49.3173
2023-08-23,Gold Coast,4.8772,41.1455
2023-08-23,Cairns,3.7062,59.8071
2023-08-24,Whitsunday,3.897,63.3161
2023-08-24,Noosa,6.3089,55.2126
2023-08-24,Cairns,4.2364,71.761
2023-08-24,Gold Coast,4.0819,41.1002
2023-08-25,Noosa,3.9842,53.6184
2023-08-25,Gold Coast,3.5472,40.7162
2023-08-25,Cairns,4.9028,64.5228
2023-08-25,Whitsunday,3.5804,68.6923
2023-08-26,Gold Coast,4.0425,33.4549
2023-08-26,Cairns,5.3511,61.5652
2023-08-26,Noosa,4.8764,55.1086
2023-08-26,Whitsunday,2.9379,67.4108
2023-08-27,Gold Coast,5,34.7469
2023-08-27,Whitsunday,4.2013,57.8791
2023-08-27,Cairns,4.3074,56.7791
2023-08-27,Noosa,5.2373,46.9844
2023-08-28,Noosa,4.175,54.825
2023-08-28,Cairns,4.6145,53.6458
2023-08-28,Gold Coast,4.5791,40.2997
2023-08-28,Whitsunday,3.424,60.8037
2023-08-29,Cairns,4.9482,60.7103
2023-08-29,Gold Coast,4.4721,36.5129
2023-08-29,Noosa,5.5163,52.0108
2023-08-29,Whitsunday,4.5546,54.6406
2023-08-30,Whitsunday,3.6269,58.1111
2023-08-30,Gold Coast,4.5102,38.8258
2023-08-30,Cairns,3.7065,57.0144
2023-08-30,Noosa,3.9532,51.7009
2023-08-31,Whitsunday,3.259,68.4879
2023-08-31,Gold Coast,3.9689,40.0452
2023-08-31,Cairns,4.8154,66.6964
2023-08-31,Noosa,4.3137,53.4565
2023-09-01,Gold Coast,5.6986,49.0044
2023-09-01,Noosa,5.0103,67.1124
2023-09-01,Cairns,7.1804,72.7719
2023-09-01,Whitsunday,4.5962,90.2441
2023-09-02,Noosa,4.8737,48.5946
2023-09-02,Gold Coast,4.4031,39.9833
2023-09-02,Cairns,4.7889,66.0275
2023-09-02,Whitsunday,4.0845,80.514
2023-09-03,Whitsunday,3.9794,72.1643
2023-09-03,Noosa,4.3758,39.6437
2023-09-03,Cairns,5.2263,54.1575
2023-09-03,Gold Coast,5.9848,39.5292
2023-09-04,Cairns,4.8851,59.438
2023-09-04,Whitsunday,4.0833,87.0347
2023-09-04,Noosa,4.8501,51.4982
2023-09-04,Gold Coast,5.5141,45.8108
2023-09-05,Noosa,4.4435,44.0585
2023-09-05,Cairns,4.4983,56.9629
2023-09-05,Gold Coast,4.3197,39.2242
2023-09-05,Whitsunday,3.3909,68.1636
2023-09-06,Whitsunday,3.3235,70.4411
2023-09-06,Noosa,5.8504,54.4743
2023-09-06,Gold Coast,4.924,40.3177
2023-09-06,Cairns,4.1162,48.8062
2023-09-07,Whitsunday,3.6279,77.75
2023-09-07,Gold Coast,4.0278,45.035
2023-09-07,Noosa,4.3217,52.2018
2023-09-07,Cairns,3.7802,62.7115
2023-09-08,Whitsunday,2.971,88.0635
2023-09-08,Noosa,3.356,59.0383
2023-09-08,Gold Coast,3.2891,41.3831
2023-09-08,Cairns,5.1502,59.1965
2023-09-09,Noosa,3.7,56.0406
2023-09-09,Gold Coast,3.4008,37.205
2023-09-09,Cairns,5.0945,64.0085
2023-09-09,Whitsunday,4.6418,86.8513
2023-09-10,Gold Coast,5.555,44.719
2023-09-10,Noosa,4.7092,54.0607
2023-09-10,Cairns,4.8547,54.4191
2023-09-10,Whitsunday,4.2866,62.8917
2023-09-11,Whitsunday,4.4722,68.5763
2023-09-11,Gold Coast,5.2002,36.8372
2023-09-11,Noosa,3.9609,47.3439
2023-09-11,Cairns,5.5949,59.1613
2023-09-12,Gold Coast,4.8216,35.8059
2023-09-12,Whitsunday,3.4414,79.2522
2023-09-12,Cairns,3.7048,52.4791
2023-09-12,Noosa,4.0231,42.6184
2023-09-13,Noosa,4.0167,51.9288
2023-09-13,Gold Coast,4.3384,42.0222
2023-09-13,Cairns,4.9522,64.1194
2023-09-13,Whitsunday,3.3666,69.275
2023-09-14,Gold Coast,4.2733,45.739
2023-09-14,Whitsunday,3.4736,77.2828
2023-09-14,Noosa,3.9236,59.7395
2023-09-14,Cairns,4.3277,66.9797
2023-09-15,Whitsunday,3.1439,112.3257
2023-09-15,Cairns,3.9861,57.464
2023-09-15,Noosa,4.2645,75.7535
2023-09-15,Gold Coast,3.4628,47.4595
2023-09-16,Gold Coast,4.4033,47.8888
2023-09-16,Cairns,4.5897,70.641
2023-09-16,Whitsunday,3.7364,115.0067
2023-09-16,Noosa,5.3603,79.5979
2023-09-17,Noosa,4.2074,65.704
2023-09-17,Whitsunday,4.1497,93.8443
2023-09-17,Gold Coast,4.1119,42.165
2023-09-17,Cairns,4.6756,64.5105
2023-09-18,Cairns,4.6302,61.9691
2023-09-18,Gold Coast,4.7319,46.8585
2023-09-18,Noosa,4.9714,63.6031
2023-09-18,Whitsunday,4.7109,80.8901
2023-09-19,Cairns,3.4769,53.7039
2023-09-19,Noosa,3.8103,50.4655
2023-09-19,Gold Coast,4.1047,40.0663
2023-09-19,Whitsunday,5.5034,70.5804
2023-09-20,Cairns,3.9365,62.5129
2023-09-20,Whitsunday,3.5555,82.8611
2023-09-20,Noosa,4.0599,67.4906
2023-09-20,Gold Coast,4.176,41.8372
2023-09-21,Cairns,4.7408,65.9014
2023-09-21,Gold Coast,3.8734,54.8468
2023-09-21,Noosa,3.522,60.0203
2023-09-21,Whitsunday,3.1609,79.5574
2023-09-22,Gold Coast,3.5525,51.7088
2023-09-22,Whitsunday,3.7795,93.8709
2023-09-22,Cairns,3.9441,66.9273
2023-09-22,Noosa,3.7371,70.8648
2023-09-23,Gold Coast,4.6858,59.7405
2023-09-23,Noosa,4.2872,82.7292
2023-09-23,Whitsunday,4.051,116.7664
2023-09-23,Cairns,4.3779,67.1017
2023-09-24,Whitsunday,3.2994,80.7604
2023-09-24,Gold Coast,3.9255,50.0045
2023-09-24,Noosa,4.1377,68.9614
2023-09-24,Cairns,5.3829,64.5835
2023-09-25,Noosa,3.86,58.6793
2023-09-25,Gold Coast,3.7835,48.1295
2023-09-25,Whitsunday,4.462,77.6835
2023-09-25,Cairns,4.7413,74.6782
2023-09-26,Noosa,3.96,47.252
2023-09-26,Whitsunday,3.0225,74.2406
2023-09-26,Cairns,4.9127,62.5436
2023-09-26,Gold Coast,3.843,51.5514
2023-09-27,Noosa,3.5302,71.3167
2023-09-27,Cairns,3.5337,61.8952
2023-09-27,Gold Coast,3.537,53.6331
2023-09-27,Whitsunday,3.0948,77.8321
2023-09-28,Gold Coast,4.249,76.0918
2023-09-28,Whitsunday,3.8125,91.1
2023-09-28,Noosa,3.7041,71.0602
2023-09-28,Cairns,4.5116,62.652
2023-09-29,Noosa,3.1437,64.508
2023-09-29,Gold Coast,3.1858,99.1598
2023-09-29,Whitsunday,3.3732,98.5576
2023-09-29,Cairns,4.7475,55.8475
2023-09-30,Cairns,4.2443,69.9101
2023-09-30,Noosa,3.5397,66.3644
2023-09-30,Gold Coast,3.756,81.1448
2023-09-30,Whitsunday,3.179,97.2962
2023-10-01,Noosa,6.6965,64.2902
2023-10-01,Whitsunday,6.9554,68.8853
2023-10-01,Cairns,10.4043,74.5229
2023-10-01,Gold Coast,8.7417,61.4894
2023-10-02,Whitsunday,5.4294,77.0192
2023-10-02,Cairns,5.1798,53.6128
2023-10-02,Noosa,6.1666,61.3709
2023-10-02,Gold Coast,8.7443,53.3696
2023-10-03,Gold Coast,8.0182,50.2079
2023-10-03,Cairns,5.1352,57.6886
2023-10-03,Whitsunday,4.5289,70.2173
2023-10-03,Noosa,5.6573,57.0454
2023-10-04,Whitsunday,5.0317,83.8809
2023-10-04,Noosa,3.7946,49.6696
2023-10-04,Gold Coast,5.2329,42.6823
2023-10-04,Cairns,4.2277,50.8349
2023-10-05,Whitsunday,4.3674,66.3072
2023-10-05,Noosa,4.2163,54.6028
2023-10-05,Cairns,4.4601,52.5613
2023-10-05,Gold Coast,4.7282,45.5559
2023-10-06,Whitsunday,3.1907,70.9868
2023-10-06,Noosa,3.305,56.1697
2023-10-06,Cairns,4.8059,57.4716
2023-10-06,Gold Coast,3.593,46.7719
2023-10-07,Gold Coast,4.5169,40.8421
2023-10-07,Whitsunday,3.5983,79.6967
2023-10-07,Noosa,3.953,51.3429
2023-10-07,Cairns,4.8612,54.1419
2023-10-08,Whitsunday,5.3812,82.2805
2023-10-08,Gold Coast,5.54,53.6973
2023-10-08,Cairns,4.43,57.1533
2023-10-08,Noosa,5.3364,56.8473
2023-10-09,Cairns,4.2808,53.6815
2023-10-09,Whitsunday,4.2464,79.9436
2023-10-09,Noosa,4.8948,57.4624
2023-10-09,Gold Coast,6.9174,51.4559
2023-10-10,Gold Coast,4.6096,42.5464
2023-10-10,Whitsunday,3.2167,50.7622
2023-10-10,Noosa,4.8779,63.2795
2023-10-10,Cairns,4.8467,53.6436
2023-10-11,Whitsunday,3.8468,54.4324
2023-10-11,Noosa,4.0335,57.7462
2023-10-11,Cairns,3.9207,56.1169
2023-10-11,Gold Coast,4.1568,45.1954
2023-10-12,Whitsunday,4.267,81.0931
2023-10-12,Cairns,3.6608,57.2906
2023-10-12,Gold Coast,4.0689,47.117
2023-10-12,Noosa,3.9614,59.6398
2023-10-13,Cairns,3.8493,52.7259
2023-10-13,Whitsunday,3.5846,72.1311
2023-10-13,Gold Coast,3.3402,47.2698
2023-10-13,Noosa,2.8562,57.1759
2023-10-14,Noosa,4.1883,50.6103
2023-10-14,Whitsunday,3.2972,70.5675
2023-10-14,Cairns,5.4722,53.3117
2023-10-14,Gold Coast,4.0299,46.4667
2023-10-15,Cairns,5.41,54.39
2023-10-15,Noosa,4.6037,52.6446
2023-10-15,Gold Coast,4.6869,45.4255
2023-10-15,Whitsunday,5.5338,68.8872
2023-10-16,Gold Coast,4.7022,52.2677
2023-10-16,Noosa,4.6385,53.3674
2023-10-16,Cairns,7.0327,53.9127
2023-10-16,Whitsunday,4.7985,65.4477
2023-10-17,Whitsunday,3.8253,79.5238
2023-10-17,Noosa,3.3657,50.7665
2023-10-17,Cairns,5.0805,52.3626
2023-10-17,Gold Coast,4.2067,43.1861
2023-10-18,Cairns,4.565,48.5325
2023-10-18,Noosa,3.6177,50.7474
2023-10-18,Gold Coast,3.7975,46.9028
2023-10-18,Whitsunday,3.2325,82.3565
2023-10-19,Cairns,3.4648,63.688
2023-10-19,Noosa,3.7507,64.3826
2023-10-19,Gold Coast,3.8965,58.2555
2023-10-19,Whitsunday,3.6455,91.2721
2023-10-20,Gold Coast,3.0968,54.4526
2023-10-20,Whitsunday,3.3068,65.7566
2023-10-20,Cairns,4.0442,49.2656
2023-10-20,Noosa,3.3085,59.7295
2023-10-21,Gold Coast,3.9727,52.5251
2023-10-21,Whitsunday,3.4791,73.9652
2023-10-21,Noosa,3.403,63.603
2023-10-21,Cairns,3.4463,55.1174
2023-10-22,Noosa,4.3333,62.1722
2023-10-22,Gold Coast,4.7313,54.991
2023-10-22,Whitsunday,3.6393,82.4836
2023-10-22,Cairns,4.0619,51.7355
2023-10-23,Whitsunday,3.877,83.1557
2023-10-23,Gold Coast,5.1612,61.5654
2023-10-23,Noosa,4.0159,61.4023
2023-10-23,Cairns,5.6238,68.7079
2023-10-24,Noosa,3.6707,69.0731
2023-10-24,Gold Coast,5.9325,68.6191
2023-10-24,Cairns,4.405,57.815
2023-10-24,Whitsunday,3.93,78.29
2023-10-25,Gold Coast,4.8428,73.7802
2023-10-25,Cairns,3.5828,70.7486
2023-10-25,Noosa,4.1684,68.7445
2023-10-25,Whitsunday,3.6578,79.3157
2023-10-26,Whitsunday,3.2335,90.6642
2023-10-26,Cairns,4.1044,71.1807
2023-10-26,Gold Coast,3.7984,91.9513
2023-10-26,Noosa,3.6423,70.723
2023-10-27,Gold Coast,3.0398,74.8684
2023-10-27,Whitsunday,3.2812,87.5937
2023-10-27,Cairns,4.1142,76.3142
2023-10-27,Noosa,2.9457,68.5094
2023-10-28,Whitsunday,3.4081,85.6428
2023-10-28,Cairns,5.84,72.72
2023-10-28,Noosa,3.1889,70.023
2023-10-28,Gold Coast,3.6023,62.6844
2023-10-29,Whitsunday,3.8571,75.1238
2023-10-29,Cairns,5.506,74.5722
2023-10-29,Noosa,4.7697,77.6776
2023-10-29,Gold Coast,5.752,73.6788
2023-10-30,Cairns,5.5217,78.663
2023-10-30,Noosa,5.1372,79.0326
2023-10-30,Whitsunday,3.8333,86.4607
2023-10-30,Gold Coast,6.324,81.3533
2023-10-31,Gold Coast,6.9908,80.9216
2023-10-31,Noosa,3.0789,112.5614
2023-10-31,Cairns,5.0482,81.7862
2023-10-31,Whitsunday,4.4054,104.5
2023-11-01,Whitsunday,5.8365,121.0961
2023-11-01,Gold Coast,10.8532,94.9104
2023-11-01,Cairns,10.6219,88.8048
2023-11-01,Noosa,6.738,133.535
2023-11-02,Cairns,4.8554,97.5843
2023-11-02,Noosa,3.8844,165.9331
2023-11-02,Whitsunday,3.362,111.5689
2023-11-02,Gold Coast,4.7969,83.1722
2023-11-03,Noosa,3.2325,185.1882
2023-11-03,Whitsunday,3.7191,87.6685
