date,lga_name,average_length_of_stay,average_booking_window
2023-02-05,Noosa,5.2671,40.6678
2023-02-05,Whitsunday,4.2068,40.7931
2023-02-05,Gold Coast,5.7704,37.662
2023-02-05,Cairns,4.7488,33.9668
2023-02-06,Whitsunday,4.8571,44.1696
2023-02-06,Noosa,6.749,48.3764
2023-02-06,Cairns,6.0726,41.9608
2023-02-06,Gold Coast,5.2559,43.4812
2023-02-07,Whitsunday,4.2441,44.1395
2023-02-07,Noosa,4.1878,36.6852
2023-02-07,Cairns,3.5027,23.5891
2023-02-07,Gold Coast,4.721,35.364
2023-02-08,Gold Coast,4.9701,37.4769
2023-02-08,Whitsunday,4.2842,42.0736
2023-02-08,Cairns,4.0108,29.827
2023-02-08,Noosa,3.9861,36.5944
2023-02-09,Whitsunday,3.864,48.408
2023-02-09,Gold Coast,4.5095,40.1847
2023-02-09,Noosa,4.6058,32.9671
2023-02-09,Cairns,3.8342,33.9834
2023-02-10,Noosa,3.2907,46.4066
2023-02-10,Whitsunday,3.6326,48.7006
2023-02-10,Gold Coast,3.9594,36.9664
2023-02-10,Cairns,3.8038,40.9377
2023-02-11,Noosa,3.6821,49.6785
2023-02-11,Whitsunday,3.9166,51.6111
2023-02-11,Cairns,5,32.0154
2023-02-11,Gold Coast,3.7004,38.9848
2023-02-12,Whitsunday,3.25,44.98
2023-02-12,Cairns,4.8732,34.5868
2023-02-12,Noosa,4.2826,43.3079
2023-02-12,Gold Coast,4.7099,42.6433
2023-02-13,Cairns,4.0052,34.746
2023-02-13,Gold Coast,5.5,39.9498
2023-02-13,Whitsunday,3.9674,34.6016
2023-02-13,Noosa,4.271,47.26
2023-02-14,Noosa,5.0506,34.2534
2023-02-14,Whitsunday,2.9438,47.8314
2023-02-14,Gold Coast,4.0328,32.4021
2023-02-14,Cairns,4.3151,30.0909
2023-02-15,Whitsunday,3.4607,46.8921
2023-02-15,Cairns,3.7173,42.7445
2023-02-15,Gold Coast,4.9367,39.2309
2023-02-15,Noosa,4.4638,51.9404
2023-02-16,Noosa,3.1433,42.74
2023-02-16,Gold Coast,3.6916,34.7155
2023-02-16,Cairns,4.7846,37.3692
2023-02-16,Whitsunday,3.2553,38.7588
2023-02-17,Whitsunday,2.773,44.8297
2023-02-17,Noosa,3.3288,47.4809
2023-02-17,Cairns,4.2,37.7181
2023-02-17,Gold Coast,3.3603,43.0593
2023-02-18,Noosa,4.8814,51.8493
2023-02-18,Cairns,3.1772,35.1545
2023-02-18,Whitsunday,8.3405,46.5652
2023-02-18,Gold Coast,4.306,41.8041
2023-02-19,Whitsunday,3.1702,39.5851
2023-02-19,Cairns,5.8333,39.9829
2023-02-19,Noosa,5.0885,46.2435
2023-02-19,Gold Coast,5.8566,39.438
2023-02-20,Cairns,4.175,26.2
2023-02-20,Gold Coast,4.4939,39.1666
2023-02-20,Whitsunday,3.4757,41.699
2023-02-20,Noosa,4.8543,38.7216
2023-02-21,Noosa,4.0794,29.7029
2023-02-21,Gold Coast,3.6063,30.8177
2023-02-21,Cairns,3.463,24.5221
2023-02-21,Whitsunday,4.0392,38.3627
2023-02-22,Gold Coast,4.1521,30.5066
2023-02-22,Noosa,3.4046,35.9116
2023-02-22,Cairns,5.5026,35.1904
2023-02-22,Whitsunday,3.4107,53.6875
2023-02-23,Cairns,3.1901,25.4144
2023-02-23,Whitsunday,3.3333,44.5362
2023-02-23,Gold Coast,3.5724,35.2221
2023-02-23,Noosa,2.7995,25.8589
2023-02-24,Whitsunday,3.2058,48.5529
2023-02-24,Noosa,3.3694,44.3364
2023-02-24,Cairns,3.5384,34.47
2023-02-24,Gold Coast,3.4233,39.6106
2023-02-25,Gold Coast,3.5739,41.8776
2023-02-25,Whitsunday,2.5891,34.9534
2023-02-25,Noosa,3.3904,30.1083
2023-02-25,Cairns,2.869,23.2103
2023-02-26,Noosa,3.7341,36.6388
2023-02-26,Gold Coast,5.5324,46.1698
2023-02-26,Whitsunday,3.9782,33.0108
2023-02-26,Cairns,3.8206,31.6367
2023-02-27,Cairns,3.9913,26.2554
2023-02-27,Noosa,3.9618,38.7786
2023-02-27,Gold Coast,3.9968,51.3065
2023-02-27,Whitsunday,4.536,36.36
2023-02-28,Noosa,3.6556,23.586
2023-02-28,Gold Coast,3.685,43.9635
2023-02-28,Whitsunday,3.5051,37.3711
2023-02-28,Cairns,3.6806,22.9747
2023-03-01,Cairns,9.8364,57.368
2023-03-01,Gold Coast,12.1613,53.9016
2023-03-01,Noosa,11.5571,61.7624
2023-03-01,Whitsunday,10.3305,51.0338
2023-03-02,Whitsunday,4.5038,39.0992
2023-03-02,Gold Coast,4.7329,35.2967
2023-03-02,Noosa,4.6237,61.5082
2023-03-02,Cairns,4.4896,32.6721
2023-03-03,Gold Coast,4.2723,36.5955
2023-03-03,Whitsunday,3.3375,53.6496
2023-03-03,Noosa,3.1004,49.4429
2023-03-03,Cairns,4.0826,26.4566
2023-03-04,Gold Coast,3.8759,35.5885
2023-03-04,Whitsunday,3.6324,31.6581
2023-03-04,Noosa,3.5129,36.8856
2023-03-04,Cairns,5.6846,32.6936
2023-03-05,Cairns,4.7288,44.1955
2023-03-05,Gold Coast,5.4401,33.5519
2023-03-05,Noosa,4.6183,36.166
2023-03-05,Whitsunday,3.2566,38.3185
2023-03-06,Cairns,4.2388,37.6766
